Ano;Periodo;EPA02H_OCUAG;EPA02H_OCUCST;EPA02H_OCUIND;EPA02H_OCUSER
1976;3º Trimestre;570,2;100,6;218,9;338,8
1976;4º Trimestre;565,9;98,6;218,1;346,4
1977;1º Trimestre;559,6;105,1;209,3;345,7
1977;2º Trimestre;542,3;106,2;214;348,6
1977;3º Trimestre;539,9;108,7;218,7;339
1977;4º Trimestre;531,7;111,9;215,2;344,3
1978;1º Trimestre;532;105,7;206,2;339,8
1978;2º Trimestre;525,2;101,3;201,8;343,6
1978;3º Trimestre;523,1;106,1;197,2;339,2
1978;4º Trimestre;524,8;103,4;203,2;334,7
1979;1º Trimestre;510;102,5;204,9;334,8
1979;2º Trimestre;513,6;106,5;201,4;334,6
1979;3º Trimestre;519,2;113,3;189,7;338
1979;4º Trimestre;495,4;110,7;196;338
1980;1º Trimestre;475,8;112,2;197,7;336,2
1980;2º Trimestre;469,7;119,2;193,5;336,4
1980;3º Trimestre;461,1;116,6;193;345,6
1980;4º Trimestre;448,4;111,4;189,3;354,3
1981;1º Trimestre;438,9;112,1;190,5;344,6
1981;2º Trimestre;439,6;114,1;187,2;345
1981;3º Trimestre;446,1;108,6;180,2;360,2
1981;4º Trimestre;433,9;110,8;175,8;365,3
1982;1º Trimestre;442,4;110,8;172,1;359,3
1982;2º Trimestre;441,5;107,8;180,9;352,8
1982;3º Trimestre;472,6;100,5;174,9;357,4
1982;4º Trimestre;460,9;91,6;181,3;354,6
1983;1º Trimestre;458,5;89,2;181,8;343,8
1983;2º Trimestre;465,2;90,2;184,5;348,4
1983;3º Trimestre;485,9;86,6;185,7;356,1
1983;4º Trimestre;491,9;79,2;189,4;347,7
1984;1º Trimestre;486,7;72,9;180,8;352,2
1984;2º Trimestre;481,2;77,7;176,2;351
1984;3º Trimestre;487,4;77,5;173,6;348,7
1984;4º Trimestre;472,8;76,2;170,1;347,3
1985;1º Trimestre;466,8;71,1;168,1;345,9
1985;2º Trimestre;477,6;75,5;161,8;354,5
1985;3º Trimestre;483,3;75,2;169,9;355,8
1985;4º Trimestre;471,4;73,1;168,7;358,2
1986;1º Trimestre;454,5;69,1;159,5;366,6
1986;2º Trimestre;442,6;65;161,5;372
1986;3º Trimestre;420,3;73;159;384,3
1986;4º Trimestre;410,3;71,2;159,7;394,8
1987;1º Trimestre;405,3;71,6;150,3;394,4
1987;2º Trimestre;400;78,7;148,6;408,1
1987;3º Trimestre;408,1;81,3;152,8;398,4
1987;4º Trimestre;412,5;83,2;156,7;399,6
1988;1º Trimestre;399,6;85,7;150,8;408,4
1988;2º Trimestre;397,8;86;154;398,7
1988;3º Trimestre;418,3;96,3;156,5;403,4
1988;4º Trimestre;407,5;93,5;155,2;412,9
1989;1º Trimestre;391,8;92,1;157,9;413,8
1989;2º Trimestre;377;95,1;160,8;422,2
1989;3º Trimestre;380,8;96,4;164,4;422,9
1989;4º Trimestre;376,5;98,7;156,3;429,6
1990;1º Trimestre;339,9;89,9;161,6;448,3
1990;2º Trimestre;337;93,8;163,8;451,3
1990;3º Trimestre;330,7;101,7;162,3;463,6
1990;4º Trimestre;324,5;102,2;162,8;461,8
1991;1º Trimestre;321,3;107,2;155,8;454,9
1991;2º Trimestre;300,6;105,2;166,1;458,5
1991;3º Trimestre;298;110,2;164,3;464,6
1991;4º Trimestre;284,3;110,4;170,1;460,6
1992;1º Trimestre;281,8;101,6;166,9;449,4
1992;2º Trimestre;275,6;104,6;165,5;443,2
1992;3º Trimestre;272,8;103;167;450,9
1992;4º Trimestre;282,1;95,7;156,2;446
1993;1º Trimestre;270,8;93,5;150,4;440,7
1993;2º Trimestre;280,7;91,9;150;445,6
1993;3º Trimestre;280;94,4;146,5;457,4
1993;4º Trimestre;278,7;90,4;139,4;454,5
1994;1º Trimestre;270,2;89,4;135,6;443,6
1994;2º Trimestre;263,8;94,7;138,3;447,7
1994;3º Trimestre;248,8;95,5;141,1;456,8
1994;4º Trimestre;242,2;99,5;135,8;462,5
1995;1º Trimestre;238,6;98,4;140,9;454,3
1995;2º Trimestre;263,1;97,7;148;453,9
1995;3º Trimestre;273,1;99,6;152,8;460,4
1995;4º Trimestre;240;101,1;146,2;462,9
1996;1º Trimestre;246,1;101,2;144,2;459
1996;2º Trimestre;234,4;96,1;144,2;464,1
1996;3º Trimestre;224,9;98,4;152,8;475,9
1996;4º Trimestre;212,5;103,7;151,7;464,8
1997;1º Trimestre;197,4;100,5;153,9;465,4
1997;2º Trimestre;194,1;102,3;162,5;479,9
1997;3º Trimestre;197;108,8;160,3;490,2
1997;4º Trimestre;185,3;105,9;159,2;496,5
1998;1º Trimestre;185,9;100,4;162,9;499,2
1998;2º Trimestre;182,7;102,9;168,2;503,7
1998;3º Trimestre;178,2;107,3;178;503,6
1998;4º Trimestre;177,1;107,2;179,4;509,8
1999;1º Trimestre;171,1;103,6;175,4;510,2
1999;2º Trimestre;173;110,4;181,7;516,2
1999;3º Trimestre;176;118,3;184,5;532,9
1999;4º Trimestre;167,3;118,9;179,6;535
2000;1º Trimestre;173,5;117,1;181;536,6
2000;2º Trimestre;174,8;124,6;183,5;548,6
2000;3º Trimestre;177,2;127,6;187,2;562
2000;4º Trimestre;173,2;125,7;193;556,1
2001;1º Trimestre;170,5;121,6;198,2;557
2001;2º Trimestre;162,3;128,5;202;561,4
2001;3º Trimestre;154,3;131,4;214;579,7
2001;4º Trimestre;146,3;139,7;211,9;572,1
