"Poboación ocupada por sexo, grupos de idade e sector económico (CNAE 1993). Galicia"
"Miles de persoas"

"INE. Encuesta de Población Activa"
"A partir do 1º trimestre do ano 2001, os datos reflicten a nova definición de paro (Regulamento 1897-2000 da CE) e, polo tanto, os valores de activos, parados e inactivos non son directamente comparables cos de anos anteriores. No primeiro trimestre de 2005 implantouse un procedemento centralizado para a realización das entrevistas telefónicas e reformuláronse algunhas das preguntas do cuestionario o que provocou unha ruptura nas series dalgunhas variables da EPA. Para máis información consultar as notas explicativas."

I.G.E. - Instituto Galego de Estatística

;"Total";;;;
;"Total";;;;
"Periodo";"Agricultura e pesca";"Industria";"Construción";"Servizos"
"1996-I";247,4;144,1;100,9;459,5
"1996-II";235,2;143,6;95,1;463,6
"1996-III";226,3;151,3;97,3;473,2
"1996-IV";213,3;150,1;102,2;460,4
"1997-I";199,0;151,5;98,8;458,5
"1997-II";196,0;159,1;100,1;473,0
"1997-III";198,1;157,3;106,4;482,8
"1997-IV";185,6;155,9;103,3;489,2
"1998-I";186,4;160,1;97,0;491,5
"1998-II";182,7;164,8;99,6;496,1
"1998-III";178,6;173,8;104,0;496,3
"1998-IV";177,9;175,3;103,6;502,3
"1999-I";171,7;171,2;101,0;501,5
"1999-II";173,9;177,1;107,3;506,7
"1999-III";176,4;179,5;114,8;522,3
"1999-IV";168,1;173,9;115,2;523,8
"2000-I";173,5;175,0;112,9;525,3
"2000-II";175,0;178,2;120,6;534,7
"2000-III";176,8;180,7;123,4;548,4
"2000-IV";172,2;187,4;120,9;542,5
"2001-I";169,2;191,8;116,5;543,9
"2001-II";160,0;195,6;122,4;547,0
"2001-III";151,9;205,4;125,1;562,0
"2001-IV";144,0;204,3;132,9;552,0
"2002-I";135,2;204,3;129,8;548,0
"2002-II";134,0;207,5;129,0;557,6
"2002-III";133,9;215,5;125,9;572,5
"2002-IV";135,9;211,3;126,4;579,9
"2003-I";136,9;206,6;129,6;586,2
"2003-II";132,7;209,1;119,9;610,4
"2003-III";136,7;204,4;124,1;616,1
"2003-IV";131,5;200,6;126,7;613,9
"2004-I";126,9;201,2;125,4;614,4
"2004-II";127,1;203,6;130,3;613,6
"2004-III";125,0;205,9;134,5;626,3
"2004-IV";130,7;214,5;132,7;631,8
"2005-I";130,8;218,5;116,1;651,3
"2005-II";124,4;217,2;120,0;654,6
"2005-III";124,2;223,8;133,8;679,2
"2005-IV";111,8;209,8;130,9;684,8
"2006-I";115,1;201,4;131,8;694,0
"2006-II";112,1;211,8;136,3;692,3
"2006-III";115,9;214,0;144,1;718,8
"2006-IV";109,5;225,0;143,1;694,3
"2007-I";104,2;223,3;140,8;697,4
"2007-II";107,5;209,0;147,4;732,2
"2007-III";105,5;212,1;146,6;751,3
"2007-IV";96,7;216,7;150,5;732,1
"2008-I";99,5;216,4;139,5;734,3
"2008-II";96,0;217,5;138,9;749,8
"2008-III";105,4;213,7;130,4;766,9
"2008-IV";95,2;211,0;119,0;771,3
