"Poboación ocupada por sector económico (CNAE 2009)"
"Miles de persoas"

"IGE-INE. Enquisa de poboación activa"
"A partir do 1º trimestre do ano 2001, os datos reflicten a nova definición de paro (Regulamento 1897/2000 da CE) e, polo tanto, os valores de activos, parados e inactivos non son directamente comparables cos de anos anteriores. No primeiro trimestre de 2005 implantouse un procedemento centralizado para a realización das entrevistas telefónicas e reformuláronse algunhas das preguntas do cuestionario o que provocou unha ruptura nas series dalgunhas variables da EPA. Para máis información consultar as notas explicativas."

I.G.E. - Instituto Galego de Estatística

;;;;;
;Galicia;;;;
"Periodo";"Agricultura e pesca";"Industria";"Construción";"Servizos"
"2008/I";96,9;216,0;141,6;735,4
"2008/II";93,4;219,0;141,3;748,5
"2008/III";102,5;215,0;132,4;766,6
"2008/IV";93,4;210,2;121,6;771,2
"2009/I";96,7;210,8;112,7;750,0
"2009/II";97,0;199,0;116,3;740,5
"2009/III";95,4;189,5;119,0;752,4
"2009/IV";90,2;183,5;117,2;751,3
"2010/I";84,3;172,7;108,3;734,9
"2010/II";87,1;175,1;103,1;732,9
"2010/III";92,7;174,4;106,8;748,5
"2010/IV";88,9;168,5;101,2;738,4
"2011/I";84,7;171,5;95,1;734,1
"2011/II";83,6;179,3;93,2;741,4
"2011/III";86,2;180,7;90,5;736,4
"2011/IV";79,4;173,9;86,5;740,5
"2012/I";79,5;170,4;80,1;727,1
"2012/II";80,5;166,6;80,5;714,3
"2012/III";79,9;162,5;81,5;732,0
"2012/IV";78,3;160,0;75,2;720,3
"2013/I";71,3;155,3;73,0;706,0
"2013/II";76,4;152,0;69,7;707,3
"2013/III";76,5;154,0;67,2;714,1
"2013/IV";73,2;152,1;67,1;710,3
"2014/I";67,5;150,5;65,3;699,5
"2014/II";65,9;151,1;67,3;707,2
"2014/III";67,7;159,2;68,4;722,1
"2014/IV";63,3;155,4;67,6;714,1
"2015/I";63,1;153,0;70,7;700,7
"2015/II";61,2;161,9;75,6;711,2
"2015/III";65,0;164,0;72,7;737,3
"2015/IV";65,6;159,3;75,3;732,4
"2016/I";66,7;157,9;73,4;723,2
"2016/II";68,0;158,0;71,9;736,2
"2016/III";73,5;166,2;71,9;746,3
"2016/IV";77,4;165,5;70,2;736,5
"2017/I";76,3;164,7;66,2;726,4
"2017/II";73,0;171,1;67,9;736,9
"2017/III";78,3;175,5;66,5;752,2
"2017/IV";73,3;173,3;65,7;743,5
"2018/I";69,7;169,8;65,8;744,7
"2018/II";64,2;169,4;68,8;773,5
"2018/III";70,3;167,0;67,5;791,7
"2018/IV";67,9;169,7;67,0;783,4
"2019/I";63,6;171,6;65,1;780,0
"2019/II";67,1;177,4;67,1;787,1
"2019/III";69,5;185,1;73,7;777,4
"2019/IV";66,7;183,4;74,5;771,3
"2020/I";68,0;190,9;76,4;747,8
"2020/II";66,4;183,5;71,9;728,6
"2020/III";71,2;180,7;76,5;754,2
"2020/IV";70,7;174,3;75,5;760,4
"2021/I";66,3;168,5;70,2;754,8
"2021/II";66,2;168,8;78,2;763,5
"2021/III";70,9;171,9;70,9;798,7
"2021/IV";65,9;173,5;71,4;780,5
"2022/I";61,9;168,9;75,6;785,0
"2022/II";64,4;168,4;73,8;798,6
"2022/III";68,9;169,6;75,1;800,2
"2022/IV";71,0;162,8;70,1;800,7
"2023/I";65,8;161,9;75,4;800,5
"2023/II";71,9;167,4;74,3;816,7
"2023/III";72,7;168,4;78,5;824,8
"2023/IV";71,5;174,7;76,7;816,1
